Metadata_hour,Metadata_treatment,Ed
4,vin,0.045103205
4,vin,0.03122132
4,vin,0.028790112
4,vin,0.037406993
4,vin,0.044383415
4,vin,0.055885777
4,vin,0.039254623
4,vin,0.065688018
4,vin,0.117039215
4,vin,0.176874884
4,vin,0.009513092
4,vin,0.028304551
4,vin,0.017554079
4,vin,-0.009834918
4,vin,0.015690502
4,vin,0.011635529
4,vin,0.015095161
4,vin,0.031143085
4,vin,0.031940353
4,vin,0.044990174
4,vin,0.035477855
4,vin,0.089534425
4,vin,0.092491437
4,vin,0.080567286
4,vin,0.129467776
4,vin,0.14068791
4,vin,0.05372621
4,vin,0.043531866
4,vin,0.056570926
4,vin,0.051640624
4,vin,0.052747754
4,vin,0.055796525
4,vin,0.122550304
4,vin,0.106075047
4,vin,0.13204483
4,vin,0.079121192
4,vin,0.074596459
4,vin,0.091992073
4,vin,0.024178425
4,vin,0.037657893
4,vin,0.043973332
4,vin,0.109095969
4,vin,0.081949404
4,vin,0.088613191
4,vin,0.103421182
4,vin,0.110802259
4,vin,0.109873007
4,vin,0.075165873
4,vin,0.080462093
4,vin,0.087397906
4,vin,0.085947529
4,vin,0.091766958
4,vin,0.106614877
4,vin,0.023389039
4,vin,0.019251372
4,vin,0.021562542
4,vin,0.025653453
4,vin,0.024613853
4,vin,0.030930648
4,vin,0.072195322
4,vin,0.068132352
4,vin,0.068321747
4,vin,0.032044311
4,vin,0.049276839
4,vin,0.077122348
4,vin,0.059525476
4,vin,0.025989366
4,vin,0.040459208
4,vin,0.045135196
4,vin,0.021550657
4,vin,0.073947626
4,vin,0.079325192
4,vin,0.10114232
4,vin,0.078214343
4,vin,0.023528501
4,vin,0.033828045
4,vin,0.013430629
4,vin,0.016556459
4,vin,0.031875805
4,vin,0.034506154
4,vin,0.042181988
4,vin,0.038591606
4,vin,0.05860955
4,vin,0.048770459
4,vin,0.055526303
4,vin,0.121448613
4,vin,0.032992168
4,vin,0.041203438
4,vin,0.03637674
4,vin,0.067890782
4,vin,0.086821213
4,vin,0.085291387
4,vin,0.040602711
4,vin,0.041601378
4,vin,0.049717485
4,vin,0.014040591
4,vin,0.036482854
4,vin,0.037328587
4,vin,0.029285652
4,vin,0.105459812
4,vin,0.116019232
4,vin,0.117192638
4,vin,0.096865433
4,vin,0.102150276
